Date,Open,High,Low,Volume,Close,Adj Close,Volume
02/01/2018,86.129997,86.309998,85.5,22483800,85.949997,85.17894,22483800
03/01/2018,86.059998,86.510002,85.970001,26061400,86.349998,85.575356,26061400
04/01/2018,86.589996,87.660004,86.57,21912000,87.110001,86.328537,21912000
05/01/2018,87.660004,88.410004,87.43,23407100,88.190002,87.398849,23407100
08/01/2018,88.199997,88.580002,87.599998,22113000,88.279999,87.488037,22113000
09/01/2018,88.650002,88.730003,87.860001,19484300,88.220001,87.428581,19484300
10/01/2018,87.860001,88.190002,87.410004,18652200,87.82,87.032166,18652200
11/01/2018,88.129997,88.129997,87.239998,17808900,88.080002,87.289833,17808900
12/01/2018,88.669998,89.779999,88.449997,24271500,89.599998,88.796204,24271500
16/01/2018,90.099998,90.790001,88.010002,36599700,88.349998,87.557411,36599700
17/01/2018,89.080002,90.279999,88.75,25602600,90.139999,89.331352,25602600
18/01/2018,89.800003,90.669998,89.660004,24159700,90.099998,89.29171,24159700
19/01/2018,90.139999,90.610001,89.660004,36875000,90,89.192604,36875000
22/01/2018,90,91.620003,89.739998,23601600,91.610001,90.78817,23601600
23/01/2018,91.900002,92.300003,91.540001,23412800,91.900002,91.075562,23412800
24/01/2018,92.550003,93.43,91.580002,33277500,91.82,90.996284,33277500
25/01/2018,92.470001,93.239998,91.93,26383200,92.330002,91.501709,26383200
26/01/2018,93.120003,94.059998,92.580002,29172200,94.059998,93.216187,29172200
29/01/2018,95.139999,95.449997,93.720001,31569900,93.919998,93.077446,31569900
30/01/2018,93.300003,93.660004,92.099998,38635100,92.739998,91.908028,38635100
31/01/2018,93.75,95.400002,93.510002,48756300,95.010002,94.157661,48756300
01/02/2018,94.790001,96.07,93.580002,47227900,94.260002,93.414398,47227900
02/02/2018,93.639999,93.970001,91.5,47867800,91.779999,90.956635,47867800
05/02/2018,90.559998,93.239998,88,51031500,88,87.210556,51031500
06/02/2018,86.889999,91.480003,85.25,67998600,91.330002,90.510681,67998600
07/02/2018,90.489998,91.769997,89.199997,41107600,89.610001,88.806107,41107600
08/02/2018,89.709999,89.879997,84.760002,55628700,85.010002,84.247375,55628700
09/02/2018,86.300003,88.93,83.830002,63499100,88.18,87.388939,63499100
12/02/2018,88.739998,89.779999,87.93,35720300,89.129997,88.330406,35720300
13/02/2018,88.93,90,87.800003,26407700,89.830002,89.024132,26407700
14/02/2018,88.510002,90.989998,88.410004,34960900,90.809998,90.418091,34960900
15/02/2018,91.209999,92.720001,90.620003,27823900,92.660004,92.260117,27823900
16/02/2018,92.449997,93.5,91.800003,30596900,92,91.602959,30596900
20/02/2018,91.480003,93.059998,91.010002,30911700,92.720001,92.319855,30911700
21/02/2018,92.980003,93.360001,91.489998,26922500,91.489998,91.095154,26922500
22/02/2018,92.050003,92.730003,91.360001,24392800,91.730003,91.334129,24392800
23/02/2018,93.599998,94.07,92.360001,26329200,94.059998,93.654068,26329200
26/02/2018,94.400002,95.449997,94.25,30199800,95.419998,95.008194,30199800
27/02/2018,95.739998,95.839996,94.199997,25869100,94.199997,93.793457,25869100
28/02/2018,94.839996,95.709999,93.629997,31167300,93.769997,93.365318,31167300
01/03/2018,93.989998,94.57,91.839996,37135600,92.849998,92.449287,37135600
02/03/2018,91.580002,93.150002,90.860001,32830400,93.050003,92.64843,32830400
05/03/2018,92.339996,94.269997,92.260002,23901600,93.639999,93.235878,23901600
06/03/2018,94.339996,94.489998,92.940002,22175800,93.32,92.917259,22175800
07/03/2018,93.160004,93.940002,92.43,26716100,93.860001,93.454933,26716100
08/03/2018,94.269997,95.099998,93.769997,25887800,94.43,94.022469,25887800
09/03/2018,95.290001,96.540001,95,36937300,96.540001,96.123367,36937300
12/03/2018,96.5,97.209999,96.040001,26073700,96.769997,96.352371,26073700
13/03/2018,97,97.239998,93.970001,35387800,94.410004,94.002563,35387800
14/03/2018,95.120003,95.410004,93.5,32132000,93.849998,93.444969,32132000
15/03/2018,93.529999,94.580002,92.830002,27611000,94.18,93.773552,27611000
16/03/2018,94.68,95.379997,93.919998,49081300,94.599998,94.191734,49081300
19/03/2018,93.739998,93.900002,92.110001,33344100,92.889999,92.489113,33344100
20/03/2018,93.050003,93.769997,93,23075200,93.129997,92.728081,23075200
21/03/2018,92.93,94.050003,92.209999,24457100,92.480003,92.080887,24457100
22/03/2018,91.269997,91.75,89.660004,38604700,89.790001,89.402496,38604700
23/03/2018,89.5,90.459999,87.080002,44068900,87.18,86.803757,44068900
26/03/2018,90.610001,94,90.400002,56396800,93.779999,93.375275,56396800
27/03/2018,94.940002,95.139999,88.510002,56569000,89.470001,89.083878,56569000
28/03/2018,89.82,91.230003,88.870003,52501100,89.389999,89.004219,52501100
29/03/2018,90.18,92.290001,88.400002,45867500,91.269997,90.876106,45867500
02/04/2018,90.470001,90.879997,87.510002,48515400,88.519997,88.13797,48515400
03/04/2018,89.580002,90.050003,87.889999,37213800,89.709999,89.322838,37213800
04/04/2018,87.849998,92.760002,87.730003,35560000,92.330002,91.931534,35560000
05/04/2018,92.440002,93.07,91.400002,29771900,92.379997,91.981316,29771900
06/04/2018,91.489998,92.459999,89.480003,38026000,90.230003,89.840599,38026000
09/04/2018,91.040001,93.169998,90.620003,31533900,90.769997,90.378265,31533900
10/04/2018,92.389999,93.279999,91.639999,26812000,92.879997,92.479156,26812000
11/04/2018,92.010002,93.290001,91.480003,24872100,91.860001,91.463562,24872100
12/04/2018,92.43,94.160004,92.43,26758900,93.580002,93.17614,26758900
13/04/2018,94.050003,94.18,92.440002,23346100,93.080002,92.678299,23346100
16/04/2018,94.07,94.660004,93.419998,20288100,94.169998,93.763588,20288100
17/04/2018,95,96.540001,94.879997,26771000,96.07,95.655396,26771000
18/04/2018,96.220001,96.720001,95.519997,21043300,96.440002,96.023796,21043300
19/04/2018,96.440002,97.07,95.339996,23552500,96.110001,95.695221,23552500
20/04/2018,95.910004,96.110001,94.050003,31154400,95,94.590012,31154400
23/04/2018,95.739998,96.290001,94.629997,22331800,95.349998,94.938499,22331800
24/04/2018,96.239998,96.470001,92.410004,34524800,93.120003,92.718124,34524800
25/04/2018,93.300003,93.300003,90.279999,33729300,92.309998,91.911621,33729300
26/04/2018,93.550003,95.150002,93.099998,42529000,94.260002,93.85321,42529000
27/04/2018,97.599998,97.900002,93.910004,48272800,95.82,95.406471,48272800
30/04/2018,96.330002,96.400002,93.150002,41523600,93.519997,93.116394,41523600
01/05/2018,93.209999,95.290001,92.790001,31408900,95,94.590012,31408900
02/05/2018,94.989998,95.169998,93.190002,27471000,93.510002,93.106445,27471000
03/05/2018,92.959999,94.93,92.449997,31142500,94.07,93.664024,31142500
04/05/2018,93.32,95.370003,92.919998,22531300,95.160004,94.749321,22531300
07/05/2018,95.169998,96.709999,95.099998,24242000,96.220001,95.804749,24242000
08/05/2018,95.849998,96.160004,95.059998,23484600,95.809998,95.396515,23484600
09/05/2018,96.010002,96.970001,95.050003,27327400,96.940002,96.521645,27327400
10/05/2018,97.459999,97.949997,97.050003,22388100,97.910004,97.487457,22388100
11/05/2018,97.800003,97.870003,97.040001,16778300,97.699997,97.278358,16778300
14/05/2018,97.919998,98.690002,97.309998,19454100,98.029999,97.606934,19454100
15/05/2018,97.239998,97.849998,96.339996,24594000,97.32,96.900002,24594000
16/05/2018,97.360001,97.400002,96.620003,17384700,97.150002,97.150002,17384700
17/05/2018,96.760002,97.540001,95.830002,17246700,96.18,96.18,17246700
18/05/2018,96.010002,96.93,96.010002,17865800,96.360001,96.360001,17865800
21/05/2018,97,98.010002,96.800003,19422500,97.599998,97.599998,19422500
22/05/2018,97.68,98.169998,97.199997,15441200,97.5,97.5,15441200
23/05/2018,96.709999,98.730003,96.32,21114800,98.660004,98.660004,21114800
24/05/2018,98.730003,98.940002,96.809998,21540800,98.309998,98.309998,21540800
25/05/2018,98.300003,98.980003,97.860001,18363900,98.360001,98.360001,18363900
29/05/2018,97.839996,98.879997,97.230003,28338000,98.010002,98.010002,28338000
30/05/2018,98.309998,99.25,97.910004,22158500,98.949997,98.949997,22158500
31/05/2018,99.290001,99.989998,98.610001,34140900,98.839996,98.839996,34140900
01/06/2018,99.279999,100.860001,99.169998,28126200,100.790001,100.790001,28126200
04/06/2018,101.260002,101.860001,100.849998,27166800,101.669998,101.669998,27166800
05/06/2018,102,102.330002,101.529999,23514400,102.190002,102.190002,23514400
06/06/2018,102.480003,102.599998,101.900002,21122900,102.489998,102.489998,21122900
07/06/2018,102.650002,102.690002,100.379997,28232200,100.879997,100.879997,28232200
08/06/2018,101.089996,101.949997,100.540001,22165100,101.629997,101.629997,22165100
11/06/2018,101.010002,101.589996,100.669998,23490900,101.050003,101.050003,23490900
12/06/2018,101.099998,101.449997,100.75,18060000,101.309998,101.309998,18060000
